contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity
k81_6,gb|AF191073|Strain|UNKNOWN-AF191073|Description|Stealth,gb_AF191073_Strain_UNKNOWN-AF191073_Description_Stealth_virus_1_clone_3B43_genomic_sequence__Country__ncbiId_AF191073_1_vipr-id_676234,159,445,511,64.2696629213
k81_6,gb|AF065755|Strain|UNKNOWN-AF065755|Description|Stealth,gb_AF065755_Strain_UNKNOWN-AF065755_Description_Stealth_virus_1_clone_3B43_T3__Country__ncbiId_AF065755_1_vipr-id_671649,213,366,511,41.8032786885
k81_13,gb|AY243469|Strain|UNKNOWN-AY243469|Description|Chimeric,gb_AY243469_Strain_UNKNOWN-AY243469_Description_Chimeric_Dengue_virus_vector_p4(Delta30)-D2-CME_complete_sequence__Country__ncbiId_AY243469_1_vipr-id_383706,20,273,273,92.673992674
k81_13,gb|JA363377|Strain|UNKNOWN-JA363377|Description|Sequence,gb_JA363377_Strain_UNKNOWN-JA363377_Description_Sequence_22_from_Patent_WO2011047324__Country__ncbiId_JA363377_1_vipr-id_721656,20,273,273,92.673992674
k81_13,gb|AY243468|Strain|UNKNOWN-AY243468|Description|Chimeric,gb_AY243468_Strain_UNKNOWN-AY243468_Description_Chimeric_Dengue_virus_vector_p4-D2-CME_complete_sequence__Country__ncbiId_AY243468_1_vipr-id_383762,20,273,273,92.673992674
k81_13,gb|FW333819|Strain|UNKNOWN-FW333819|Description|HSV-1,gb_FW333819_Strain_UNKNOWN-FW333819_Description_HSV-1_AND_HSV-2_VACCINES_AND_METHODS_OF_USE_THEREOF__Country__ncbiId_FW333819_1_vipr-id_668247,20,273,273,92.673992674
k81_13,gb|HC725862|Strain|UNKNOWN-HC725862|Description|Sequence,gb_HC725862_Strain_UNKNOWN-HC725862_Description_Sequence_21_from_Patent_WO2010040756__Country__ncbiId_HC725862_1_vipr-id_347403,20,273,273,92.673992674
k81_13,gb|AY656169|Strain|UNKNOWN-AY656169|Description|Dengue,gb_AY656169_Strain_UNKNOWN-AY656169_Description_Dengue_virus_type_3_vector_p3_complete_sequence__Country__ncbiId_AY656169_1_vipr-id_391986,20,273,273,92.673992674
k81_13,gb|AY656167|Strain|UNKNOWN-AY656167|Description|Chimeric,gb_AY656167_Strain_UNKNOWN-AY656167_Description_Chimeric_dengue_virus_vector_p4-D3L-ME_complete_sequence__Country__ncbiId_AY656167_1_vipr-id_391984,20,273,273,92.673992674
k81_13,gb|HC725851|Strain|UNKNOWN-HC725851|Description|Sequence,gb_HC725851_Strain_UNKNOWN-HC725851_Description_Sequence_10_from_Patent_WO2010040756__Country__ncbiId_HC725851_1_vipr-id_347578,20,273,273,92.673992674
k81_13,gb|JC739988|Strain|UNKNOWN-JC739988|Description|Sequence,gb_JC739988_Strain_UNKNOWN-JC739988_Description_Sequence_21_from_Patent_WO2014052588__Country__ncbiId_JC739988_1_vipr-id_1221695,20,273,273,92.673992674
k81_13,gb|DI175579|Strain|UNKNOWN-DI175579|Description|KR,gb_DI175579_Strain_UNKNOWN-DI175579_Description_KR_1020100011054-A/1_Method_for_producing_viruses_co-packaged_with_two_or_more_target_genes__Country__ncbiId_DI175579_1_vipr-id_1081180,20,273,273,92.673992674
k81_13,gb|JA662469|Strain|UNKNOWN-JA662469|Description|Sequence,gb_JA662469_Strain_UNKNOWN-JA662469_Description_Sequence_24_from_Patent_EP2385119__Country__ncbiId_JA662469_1_vipr-id_540796,20,273,273,92.673992674
k81_13,gb|FB361107|Strain|patent,gb_FB361107_Strain_patent_WO2006110762_26_Description_Sequence_26_from_Patent_WO2006110762__Country__ncbiId_FB361107_1_vipr-id_291261,20,273,273,92.673992674
k81_13,gb|CS402438|Strain|UNKNOWN-CS402438|Description|Sequence,gb_CS402438_Strain_UNKNOWN-CS402438_Description_Sequence_7_from_Patent_WO2006037038__Country__ncbiId_CS402438_1_vipr-id_728118,20,273,273,92.673992674
k81_13,gb|DM057453|Strain|UNKNOWN-DM057453|Description|DEFECTIVE,gb_DM057453_Strain_UNKNOWN-DM057453_Description_DEFECTIVE_SINDBIS_VIRAL_VECTORS__Country__ncbiId_DM057453_1_vipr-id_733412,20,273,273,92.673992674
k81_13,gb|HB462354|Strain|UNKNOWN-HB462354|Description|Sequence,gb_HB462354_Strain_UNKNOWN-HB462354_Description_Sequence_1_from_Patent_WO2009082664__Country__ncbiId_HB462354_1_vipr-id_873291,20,273,273,92.673992674
k81_13,gb|LG048544|Strain|UNKNOWN-LG048544|Description|KR,gb_LG048544_Strain_UNKNOWN-LG048544_Description_KR_1020150031322-A/27_COMPLEXES_OF_CYTOMEGALOVIRUS_PROTEINS__Country__ncbiId_LG048544_1_vipr-id_1436412,20,273,273,92.673992674
k81_13,gb|FB361097|Strain|patent,gb_FB361097_Strain_patent_WO2006110762_16_Description_Sequence_16_from_Patent_WO2006110762__Country__ncbiId_FB361097_1_vipr-id_300195,20,273,273,92.673992674
k81_13,gb|HV325665|Strain|UNKNOWN-HV325665|Description|JP,gb_HV325665_Strain_UNKNOWN-HV325665_Description_JP_2011507523-A/1_Genetically_Modified_Attenuated_Vesicular_Stomatitis_Virus_Compositions_and_Methods_of_Use_Thereof__Country__ncbiId_HV325665_1_vipr-id_869759,20,273,273,92.673992674
