contig,id,name,number_mismatches,alignment_length,contig_length,adjusted_identity
k91_14,DL231478,Recombinant_raccoon_pox_viruses_and_their_use_as_an_effective_vaccine_against_feline_infectious_peritonitis_virus_disease_,2,382,382,99.4764397906
k91_19,DL231478,Recombinant_raccoon_pox_viruses_and_their_use_as_an_effective_vaccine_against_feline_infectious_peritonitis_virus_disease_,8,497,504,98.3903420523
k91_20,CS402432,Sequence_1_from_Patent_WO2006037038_,107,487,592,78.0287474333
k91_13,CS402432,Sequence_1_from_Patent_WO2006037038_,0,374,374,100.0
k91_20,CS402433,Sequence_2_from_Patent_WO2006037038_,107,487,592,78.0287474333
k91_13,CS402433,Sequence_2_from_Patent_WO2006037038_,0,374,374,100.0
k91_20,CS402434,Sequence_3_from_Patent_WO2006037038_,107,487,592,78.0287474333
k91_13,CS402434,Sequence_3_from_Patent_WO2006037038_,0,374,374,100.0
k91_20,CS402435,Sequence_4_from_Patent_WO2006037038_,107,487,592,78.0287474333
k91_13,CS402435,Sequence_4_from_Patent_WO2006037038_,0,374,374,100.0
k91_20,CS402438,Sequence_7_from_Patent_WO2006037038_,231,363,592,36.3636363636
k91_19,CS402438,Sequence_7_from_Patent_WO2006037038_,9,497,504,98.1891348089
k91_14,CS402438,Sequence_7_from_Patent_WO2006037038_,3,382,382,99.2146596859
k91_20,CS402439,Sequence_8_from_Patent_WO2006037038_,231,363,592,36.3636363636
k91_19,CS402439,Sequence_8_from_Patent_WO2006037038_,9,497,504,98.1891348089
k91_14,CS402439,Sequence_8_from_Patent_WO2006037038_,3,382,382,99.2146596859
k91_20,DL475795,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,107,487,592,78.0287474333
k91_13,DL475795,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,0,374,374,100.0
k91_20,DL475797,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,107,487,592,78.0287474333
k91_13,DL475797,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,0,374,374,100.0
k91_20,DL475798,OPTIMIZED_VACCINES_TO_PROVIDE_PROTECTION_AGAINST_EBOLA_AND_OTHER_VIRUSES_,107,487,592,78.0287474333
