contig,id,name,identity,alignment_length,contig_length,adjusted_identity
k91_9,MF688774.1,Expression_vector_pRLP121_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,MF688773.1,Expression_vector_pTMH308_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,MF688772.1,Expression_vector_pTMH307_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,KT894025.1,Synthetic_construct_integrase_gene_complete_cds;_and_act5C_gene_,100.0,244.0,313.0,77.9552715655
k91_9,KJ955629.1,Cloning_vector_pMU125_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,JF327847.1,Expression_vector_LIC-pDEST-LC2_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,JF327846.1,Expression_vector_LIC-pDEST-LC1_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,EF456759.1,Chimeric_dengue_virus_type_1_vector_p4(delta)30-D1L-CME_complete_,100.0,244.0,313.0,77.9552715655
k91_9,EF456758.1,Chimeric_dengue_virus_type_1_vector_p4-D1L-CME_complete_sequence,100.0,244.0,313.0,77.9552715655
k91_9,EF456757.1,Chimeric_dengue_virus_type_1_vector_p4(delta)30-D1-ME_complete_,100.0,244.0,313.0,77.9552715655
k91_10,KF084377.1,Uncultured_bacterium_clone_nck161h11c1_16S_ribosomal_RNA_gene_,99.417,343.0,360.0,94.7223083333
k91_10,JX223062.1,Uncultured_bacterium_clone_EMIRGE_OTU_s4t2e_1758_16S_ribosomal_,99.417,343.0,360.0,94.7223083333
k91_10,FJ957443.1,Uncultured_bacterium_clone_JPL-1_E07_16S_ribosomal_RNA_gene_,99.417,343.0,360.0,94.7223083333
k91_10,KF084351.1,Uncultured_bacterium_clone_nck163b12c1_16S_ribosomal_RNA_gene_,99.413,341.0,360.0,94.1662027778
k91_10,KF110582.1,Uncultured_bacterium_clone_nck347f12c1_16S_ribosomal_RNA_gene_,99.125,343.0,360.0,94.4440972222
k91_10,KF073466.1,Uncultured_bacterium_clone_ncm10c09c1_16S_ribosomal_RNA_gene_,99.125,343.0,360.0,94.4440972222
k91_10,FJ957596.1,Uncultured_Propionibacterium_sp._clone_JPL-2_O20_16S_ribosomal_,99.125,343.0,360.0,94.4440972222
k91_10,KF097921.1,Uncultured_bacterium_clone_nck247f05c1_16S_ribosomal_RNA_gene_,98.551,345.0,360.0,94.4447083333
k91_10,KF109739.1,Uncultured_bacterium_clone_nck335c08c1_16S_ribosomal_RNA_gene_,99.112,338.0,360.0,93.0551555556
k91_10,KF105928.1,Uncultured_bacterium_clone_nck304f06c1_16S_ribosomal_RNA_gene_,98.542,343.0,360.0,93.8886277778
k91_13,MH541819.1,Cloning_vector_pPTbsr_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282432.1,Vector_pAAV-hSyn1-GCaMP6s-P2A-mRuby3_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282431.1,Vector_pAAV-hSyn1-GCaMP6s-P2A-mKate2_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282430.1,Vector_pAAV-hSyn1-GAP43-GCaMP6s_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282429.1,Vector_pAAV-hSyn1-GAP43-GCaMP6s-P2A-mRuby3_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282428.1,Vector_pAAV-hSyn1-GAP43-GCaMP6s-P2A-mKate2_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282427.1,Vector_pAAV-hSyn1-GAP43-GCaMP6m_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282426.1,Vector_pAAV-hSyn1-GAP43-GCaMP6f_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282425.1,Vector_pAAV-hSyn1-FLEx-GAP43-GCaMP6s_complete_sequence,100.0,374.0,374.0,100.0
k91_13,MH282424.1,Vector_pAAV-hSyn1-FLEX-GAP43-GCaMP6s-P2A-mRuby3_complete_sequence,100.0,374.0,374.0,100.0
k91_14,MG973083.1,Synthetic_construct_other-genetic_sequence,99.476,382.0,382.0,99.476
k91_14,MG973082.1,Synthetic_construct_sequence,99.476,382.0,382.0,99.476
k91_14,MH541819.1,Cloning_vector_pPTbsr_complete_sequence,99.476,382.0,382.0,99.476
k91_14,MH488950.1,Cloning_vector_pWAS-anti-fadR-anti-xapR_complete_sequence,99.476,382.0,382.0,99.476
k91_14,MH488949.1,Cloning_vector_pWAS-anti-yfiD-anti-purB_complete_sequence,99.476,382.0,382.0,99.476
k91_14,MH488948.1,Cloning_vector_pWAS-anti-pabA_complete_sequence,99.476,382.0,382.0,99.476
k91_14,MH488912.1,Cloning_vector_pWAS_complete_sequence,99.476,382.0,382.0,99.476
k91_14,MH282432.1,Vector_pAAV-hSyn1-GCaMP6s-P2A-mRuby3_complete_sequence,99.476,382.0,382.0,99.476
