contig,id,name,identity,alignment_length,contig_length,adjusted_identity
k81_6,JF145555.1,Uncultured_bacterium_clone_ncd1640a09c1_16S_ribosomal_RNA_gene_,99.412,510.0,511.0,99.2174559687
k81_6,LC372610.1,Herbaspirillum_sp._gene_for_16S_rRNA_partial_sequence_strain:_,99.216,510.0,511.0,99.0218395303
k81_6,HE814746.2,Herbaspirillum_sp._S2H21_partial_16S_rRNA_gene_isolate_S2H21,99.216,510.0,511.0,99.0218395303
k81_6,JF236205.1,Uncultured_bacterium_clone_ncd2735g09c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_6,JF236147.1,Uncultured_bacterium_clone_ncd2734h06c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_6,JF236023.1,Uncultured_bacterium_clone_ncd2733b04c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_6,JF222490.1,Uncultured_bacterium_clone_ncd2734a01c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_6,JF144453.1,Uncultured_bacterium_clone_ncd1622e08c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_6,JF138053.1,Uncultured_bacterium_clone_ncd1598g10c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_6,JF138052.1,Uncultured_bacterium_clone_ncd1598g09c1_16S_ribosomal_RNA_gene_,99.216,510.0,511.0,99.0218395303
k81_13,MG692728.1,Escherichia_coli_TCJ482-1_plasmid_p482-1_contig_COV43U1_rep_c184_,99.267,273.0,273.0,99.267
k81_13,MG692707.1,Escherichia_coli_TCJ492-9_plasmid_p492-9_contig_COV44U1_c7_genomic_,99.267,273.0,273.0,99.267
k81_13,KX931445.1,Suicide_vector_pTS1_complete_sequence,99.267,273.0,273.0,99.267
k81_13,KX931444.1,Suicide_vector_pME3087_complete_sequence,99.267,273.0,273.0,99.267
k81_13,CP019025.1,Escherichia_coli_strain_Ecol_881_plasmid_pEC881_4_complete_sequence,99.267,273.0,273.0,99.267
k81_13,DQ983597.1,Cloning_vector_pCW2_complete_sequence,99.267,273.0,273.0,99.267
k81_13,DQ983596.1,Cloning_vector_pCW1_complete_sequence,99.267,273.0,273.0,99.267
k81_13,DQ983595.1,Cloning_vector_pCW_complete_sequence,99.267,273.0,273.0,99.267
k81_13,DQ983594.1,Cloning_vector_pOri1_complete_sequence,99.267,273.0,273.0,99.267
k81_13,AY423864.1,Cloning_vector_pMK2016_complete_sequence,99.267,273.0,273.0,99.267
k81_25,CP023878.1,Klebsiella_oxytoca_strain_FDAARGOS_430_plasmid_unnamed,99.697,991.0,1168.0,84.588807363
k81_25,CP023878.1,Klebsiella_oxytoca_strain_FDAARGOS_430_plasmid_unnamed,100.0,38.0,1168.0,3.25342465753
k81_25,CP017221.1,Escherichia_coli_strain_FAM21845_plasmid_pFAM21845_1_complete_,100.0,980.0,1168.0,83.904109589
k81_25,CP017221.1,Escherichia_coli_strain_FAM21845_plasmid_pFAM21845_1_complete_,100.0,38.0,1168.0,3.25342465753
k81_25,DQ322635.1,YFV_replicon_vector_prME-def_complete_sequence,99.797,987.0,1168.0,84.3318827055
k81_25,DQ322634.1,YFV_replicon_vector_FMDV-2A-def_complete_sequence,99.797,987.0,1168.0,84.3318827055
k81_25,DQ322633.1,YFV_replicon_vector_capsid-def_complete_sequence,99.797,987.0,1168.0,84.3318827055
