contig,id,name,identity,alignment_length,contig_length,adjusted_identity
k91_3,NG_057774.1,Penidiella_columbiana_CBS_486.80_28S_rRNA_gene_partial_sequence;_,99.676,309.0,309.0,99.676
k91_3,KX908743.1,Dothideomycetes_sp._genotype_764_JMUR-2016_voucher_ARIZ:FL2137_,99.676,309.0,309.0,99.676
k91_3,KX908454.1,Dothideomycetes_sp._genotype_783_JMUR-2016_voucher_ARIZ:NC0737_,99.676,309.0,309.0,99.676
k91_3,KX908339.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC0822_,99.676,309.0,309.0,99.676
k91_3,KX908266.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC1436_,99.676,309.0,309.0,99.676
k91_3,KX908257.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC1410_,99.676,309.0,309.0,99.676
k91_3,KX908250.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC1337_,99.676,309.0,309.0,99.676
k91_3,KX908243.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC1314_,99.676,309.0,309.0,99.676
k91_3,KX908240.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC1304_,99.676,309.0,309.0,99.676
k91_3,KX908235.1,Dothideomycetes_sp._genotype_799_JMUR-2016_voucher_ARIZ:NC1290_,99.676,309.0,309.0,99.676
k91_5,NG_056992.1,Acremonium_sordidulum_CBS_385.73_28S_rRNA_gene_partial_sequence;_,97.867,375.0,424.0,86.5568985849
k91_5,NG_056933.1,Acremonium_brachypenium_CBS_866.73_28S_rRNA_gene_partial_sequence;_,97.867,375.0,424.0,86.5568985849
k91_5,KT878339.1,Acremonium_acutatum_strain_03914_internal_transcribed_spacer_,97.867,375.0,424.0,86.5568985849
k91_5,KF436234.1,Fungal_endophyte_culture-collection_STRI:ICBG-Panama:TK241_18S_,97.867,375.0,424.0,86.5568985849
k91_5,KF435996.1,Fungal_endophyte_culture-collection_STRI:ICBG-Panama:TK672_18S_,97.867,375.0,424.0,86.5568985849
k91_5,KF435993.1,Fungal_endophyte_culture-collection_STRI:ICBG-Panama:TK598_18S_,97.867,375.0,424.0,86.5568985849
k91_5,HQ232136.1,Acremonium_sordidulum_strain_CBS_385.73_28S_ribosomal_RNA_gene_,97.867,375.0,424.0,86.5568985849
k91_5,HQ232004.1,Acremonium_brachypenium_strain_CBS_866.73_28S_ribosomal_RNA_gene_,97.867,375.0,424.0,86.5568985849
k91_5,AB540496.1,Acremonium_brachypenium_gene_for_28S_rRNA_partial_sequence_,97.867,375.0,424.0,86.5568985849
k91_5,FJ176883.1,Acremonium_alternatum_isolate_AFTOL-ID_1396_28S_large_subunit_,97.867,375.0,424.0,86.5568985849
